NUM_CERTIFICADO|TASA_INTERES_ANTERIOR|TASA_POOL_ANTERIOR|TASA_INTERES_NUEVA|TASA_POOL_NUEVA|FECHA_CAMBIO_TASA|USUARIO_CAMBIO_TASA
AA25280K4KBW|8.6|11.5|7.11|10.01|20260302|USERVINPUTTER01
AA25280MKTHQ|5.21|12.7|1.36|8.85|20260302|USERVINPUTTER01
AA25280MLYK5|3.2|4.45|3.2|4.45|20260302|USERVINPUTTER01
AA25280JKF3X|5.25|5.35|4.1|4.2|20260302|USERVINPUTTER01
AA26001TNZ0P|10||10||20260302|USERVINPUTTER01
AA25280JM8JX|7.5|8.7|8.81|10.01|20260302|USERVINPUTTER01
AA25280Q28B9|1.95|4.45|1.95|4.45|20260302|USERVINPUTTER01
AA25280K66Z1|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280PG8N3|6.23|10.9|6.23|10.9|20260302|USERVINPUTTER01
AA25246193G8|10.65|10.9|10.65|10.9|20260302|USERVINPUTTER01
AA25280NQ1LX|7|11.35|4.5|8.85|20260302|USERVINPUTTER01
AA25280NBYGG|7|11.35|4.5|8.85|20260302|USERVINPUTTER01
AA25280Q5H0B|2.5|8.7|2.65|8.85|20260302|USERVINPUTTER01
AA252808JBKP|7.75|10.9|7.75|10.9|20260302|USERVINPUTTER01
AA252808KSK8|3|11.5|1.51|10.01|20260302|USERVINPUTTER01
AA25280KCTVY|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA25280JBQ9K|3|5.75|1.65|4.4|20260302|USERVINPUTTER01
AA25280Q278N|2|5.75|0.65|4.4|20260302|USERVINPUTTER01
AA25280Q7SLL|4.35|4.45|4.35|4.45|20260302|USERVINPUTTER01
AA26001NQ12G|12|11|12|11|20260302|USERVINPUTTER01
AA25280MV9TP|6.7|10.5|6.21|10.01|20260302|USERVINPUTTER01
AA25216HV6TZ|10|11|10|11|20260302|USERVINPUTTER01
AA25280MGV7Z|5.5|11.35|3|8.85|20260302|USERVINPUTTER01
AA25280P5G3S|6.83|10.5|5.18|8.85|20260302|USERVINPUTTER01
AA26001Y49G4|10||10||20260302|USERVINPUTTER01
AA26001ZKLW1|12|11|12|11|20260302|USERVINPUTTER01
AA25280KMXS3|4|5.4|3|4.4|20260302|USERVINPUTTER01
AA252808JH1K|2.9|8|3.75|8.85|20260302|USERVINPUTTER01
AA26001QXRZR|12|11|12|11|20260302|USERVINPUTTER01
AA25280JMDPL|6.21|11.35|3.71|8.85|20260302|USERVINPUTTER01
AA25280MPZHF|1.15|10.9|1.15|10.9|20260302|USERVINPUTTER01
AA25246P23TM|10.65|10.9|10.65|10.9|20260302|USERVINPUTTER01
AA25280NJH7N|5.19|8.7|6.5|10.01|20260302|USERVINPUTTER01
AA25280LL26H|3|5.55|1.85|4.4|20260302|USERVINPUTTER01
AA25280MWRHZ|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA25280LTRNR|6.83|7.9|7.78|8.85|20260302|USERVINPUTTER01
AA25280N3SCW|3|8.7|3.15|8.85|20260302|USERVINPUTTER01
AA25280LCY46|5|12.7|1.15|8.85|20260302|USERVINPUTTER01
AA25280KXMHY|6.23|10.9|6.23|10.9|20260302|USERVINPUTTER01
AA25280LGH7F|2.7|10.9|2.7|10.9|20260302|USERVINPUTTER01
AA25280VDBCY|2.5|8.7|2.65|8.85|20260302|USERVINPUTTER01
AA2528000XL9|3.7|4.4|3.7|4.4|20260302|USERVINPUTTER01
AA252809GX8F|0.31|0|4.51|4.2|20260302|USERVINPUTTER01
AA25280KX8HS|2.8|1.1|5.9|4.2|20260302|USERVINPUTTER01
AA25280JX7WT|2.5|9.25|2.1|8.85|20260302|USERVINPUTTER01
AA25280L8CWM|6.8|11|6.8|11|20260302|USERVINPUTTER01
AA25280MCDY3|3|5.5|1.9|4.4|20260302|USERVINPUTTER01
AA25280JX1SJ|3.55|4.45|3.55|4.45|20260302|USERVINPUTTER01
AA25280JVC2Y|8|8|8.85|8.85|20260302|USERVINPUTTER01
AA25280VGZCC|4|6.9|5.95|8.85|20260302|USERVINPUTTER01
AA252809CM16|2.5|8|3.35|8.85|20260302|USERVINPUTTER01
AA25280JY2VC|6.98|10.65|5.18|8.85|20260302|USERVINPUTTER01
AA25280LBFHD|2.5|7.85|3.5|8.85|20260302|USERVINPUTTER01
AA252809FYKZ|4.7|10.9|4.7|10.9|20260302|USERVINPUTTER01
AA25280KPZ00|7.5|8.7|8.81|10.01|20260302|USERVINPUTTER01
AA25280L9F0V|1.9|10|1.91|10.01|20260302|USERVINPUTTER01
AA25280N5RCS|6.23|10.9|6.23|10.9|20260302|USERVINPUTTER01
AA25280070KZ|2.73|10.9|2.73|10.9|20260302|USERVINPUTTER01
AA252802Q7XS|3.65|1.1|6.75|4.2|20260302|USERVINPUTTER01
AA25280VHNH1|5.1|8.7|6.41|10.01|20260302|USERVINPUTTER01
AA2528097G5Y|5.7|10.5|5.21|10.01|20260302|USERVINPUTTER01
AA2528098Y67|6|8|6.85|8.85|20260302|USERVINPUTTER01
AA25280KWLHT|3|11.5|1.51|10.01|20260302|USERVINPUTTER01
AA25280LZS93|2.5|10|2.51|10.01|20260302|USERVINPUTTER01
AA25280PK6VB|4.25|11.35|1.75|8.85|20260302|USERVINPUTTER01
AA2528007ZP8|10.25|12.7|6.4|8.85|20260302|USERVINPUTTER01
AA25280VDSBH|3.2|4.4|3.2|4.4|20260302|USERVINPUTTER01
AA25280KV2XQ|8|10.5|6.35|8.85|20260302|USERVINPUTTER01
AA25280N43DH|6.16|11.35|3.66|8.85|20260302|USERVINPUTTER01
AA25280KR1FB|2.5|8.3|3.05|8.85|20260302|USERVINPUTTER01
AA252802PJTZ|9.5|11.35|7|8.85|20260302|USERVINPUTTER01
AA25280VDV7W|1.15|10.9|1.15|10.9|20260302|USERVINPUTTER01
AA25280K0QP8|2|12.7|0|10.01|20260302|USERVINPUTTER01
AA25280NVQT5|6.45|11|6.45|11|20260302|USERVINPUTTER01
AA252809HXQT|6.23|10.9|6.23|10.9|20260302|USERVINPUTTER01
AA25280LJ9QK|8.5|11.35|6|8.85|20260302|USERVINPUTTER01
AA25280MW4Z6|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280N54P1|2.5|8|3.35|8.85|20260302|USERVINPUTTER01
AA25280N6BT0|1.9|10.9|1.9|10.9|20260302|USERVINPUTTER01
AA25280JWPSQ|0.46|1|3.66|4.2|20260302|USERVINPUTTER01
AA25280MX6NK|4.23|1.7|6.73|4.2|20260302|USERVINPUTTER01
AA25280P18NS|8.1|10.9|8.1|10.9|20260302|USERVINPUTTER01
AA2528001SYX|3.17|12.7|0.48|10.01|20260302|USERVINPUTTER01
AA25280PH0WY|6.34|11.35|3.84|8.85|20260302|USERVINPUTTER01
AA25280VC8KX|3.65|4.5|3.65|4.5|20260302|USERVINPUTTER01
AA2528097Z12|3.3|4.45|3.3|4.45|20260302|USERVINPUTTER01
AA25280L3BW0|3|9.9|3.11|10.01|20260302|USERVINPUTTER01
AA2528099HLM|10.5|11.35|8|8.85|20260302|USERVINPUTTER01
AA25280LDG25|8.15|11.35|5.65|8.85|20260302|USERVINPUTTER01
AA25280M91W9|10.11|10.11|10.11|10.11|20260302|USERVINPUTTER01
AA25280LMY5Y|8.6|10|8.6|10|20260302|USERVINPUTTER01
AA25280N0PFF|10.45|11.35|7.95|8.85|20260302|USERVINPUTTER01
AA25280P0704|2.53|6.9|4.48|8.85|20260302|USERVINPUTTER01
AA25280VH6NC|2.5|7.85|3.5|8.85|20260302|USERVINPUTTER01
AA25280JZD13|4.4|10.9|4.4|10.9|20260302|USERVINPUTTER01
AA25280N7X2T|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA25280LWJL0|9.5|12.7|5.65|8.85|20260302|USERVINPUTTER01
AA25280LBRN6|5.7|11.5|4.21|10.01|20260302|USERVINPUTTER01
AA25280NR2FS|3|7.85|4|8.85|20260302|USERVINPUTTER01
AA252800C4ZK|6|10.5|5.51|10.01|20260302|USERVINPUTTER01
AA25280KZDH3|5.19|8.7|6.5|10.01|20260302|USERVINPUTTER01
AA25280NVWTQ|3.85|7.7|5|8.85|20260302|USERVINPUTTER01
AA25280L65DS|0.31|0|4.51|4.2|20260302|USERVINPUTTER01
AA25280VFRX7|6.8|11|6.8|11|20260302|USERVINPUTTER01
AA25280LBRXQ|6.98|10.65|5.18|8.85|20260302|USERVINPUTTER01
AA25280LX8C9|9.1|12.7|5.25|8.85|20260302|USERVINPUTTER01
AA25280VFYXN|2.5|2.45|4.25|4.2|20260302|USERVINPUTTER01
AA25280VM9CY|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA252809G4B0|6.83|10.5|5.18|8.85|20260302|USERVINPUTTER01
AA25280M275Z|4.5|5.35|3.35|4.2|20260302|USERVINPUTTER01
AA25280NRSH8|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA25280NVHN5|1.9|10.9|1.9|10.9|20260302|USERVINPUTTER01
AA2528001MHX|2.7|8|3.55|8.85|20260302|USERVINPUTTER01
AA25280NXTB5|5.15|10.9|5.15|10.9|20260302|USERVINPUTTER01
AA2528003JKB|4|4.5|4|4.5|20260302|USERVINPUTTER01
AA25280KMZJB|5.5|11.35|3|8.85|20260302|USERVINPUTTER01
AA25280M9DY2|6.23|10.9|6.23|10.9|20260302|USERVINPUTTER01
AA25280JT7WZ|4.75|10.9|4.75|10.9|20260302|USERVINPUTTER01
AA252800D041|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA25280M8H1Y|5.95|10.9|5.95|10.9|20260302|USERVINPUTTER01
AA2528037FXZ|5|11.5|3.51|10.01|20260302|USERVINPUTTER01
AA252805RDH6|3.11|12.7|0.42|10.01|20260302|USERVINPUTTER01
AA25280348C7|10|11.35|7.5|8.85|20260302|USERVINPUTTER01
AA252805MNBV|2.7|7.9|3.65|8.85|20260302|USERVINPUTTER01
AA25280370LG|2.5|8|3.35|8.85|20260302|USERVINPUTTER01
AA252802VXNZ|3|8.3|3.55|8.85|20260302|USERVINPUTTER01
AA2528031V7V|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA252802WK0Z|4|10.5|3.51|10.01|20260302|USERVINPUTTER01
AA252803XB2M|3.75|11.5|2.26|10.01|20260302|USERVINPUTTER01
AA252803TQ81|3.4|4.4|3.4|4.4|20260302|USERVINPUTTER01
AA252802QNXH|6|10.5|5.51|10.01|20260302|USERVINPUTTER01
AA252802R938|2.5|8.3|3.05|8.85|20260302|USERVINPUTTER01
AA252802WPH1|4.3|5.75|2.95|4.4|20260302|USERVINPUTTER01
AA252803RDYK|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA252803NZ9P|9.45|10.9|9.45|10.9|20260302|USERVINPUTTER01
AA252802QLGG|0.46|1.83|2.83|4.2|20260302|USERVINPUTTER01
AA252805MC0F|7.36|10.9|7.36|10.9|20260302|USERVINPUTTER01
AA252802V22G|11.86|10.11|11.86|10.11|20260302|USERVINPUTTER01
AA252802R7FW|5.34|8.7|6.65|10.01|20260302|USERVINPUTTER01
AA252802QDRW|2.8|10.9|2.8|10.9|20260302|USERVINPUTTER01
AA252803VKW8|2.7|7.85|3.7|8.85|20260302|USERVINPUTTER01
AA252803VCKT|8.5|8.7|8.65|8.85|20260302|USERVINPUTTER01
AA2528042W9D|5.2|10.9|5.2|10.9|20260302|USERVINPUTTER01
AA252803TL3Y|6|10.5|5.51|10.01|20260302|USERVINPUTTER01
AA252805JZT2|3.48|9.9|3.59|10.01|20260302|USERVINPUTTER01
AA252805QZH3|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA252803714X|1.9|10.9|1.9|10.9|20260302|USERVINPUTTER01
AA252805MZNT|1.05|4.45|1.05|4.45|20260302|USERVINPUTTER01
AA252805KD7P|5.2|11.5|3.71|10.01|20260302|USERVINPUTTER01
AA2528032RKN|3.9|10.9|3.9|10.9|20260302|USERVINPUTTER01
AA252805N655|7.4|10.9|7.4|10.9|20260302|USERVINPUTTER01
AA252803TD3P|1.45|4.45|1.45|4.45|20260302|USERVINPUTTER01
AA252802YD8F|10.4|11.35|7.9|8.85|20260302|USERVINPUTTER01
AA252805JB8Q|2.5|8|3.35|8.85|20260302|USERVINPUTTER01
AA252802W68C|2|11.35|0|8.85|20260302|USERVINPUTTER01
AA2528036KH6|2.4|10.9|2.4|10.9|20260302|USERVINPUTTER01
AA252803RB38|2.25|4.45|2.25|4.45|20260302|USERVINPUTTER01
AA252802YZH0|5.19|8.7|6.5|10.01|20260302|USERVINPUTTER01
AA25280331J3|5.5|8.3|6.05|8.85|20260302|USERVINPUTTER01
AA252805TCCV|3|7|4.85|8.85|20260302|USERVINPUTTER01
AA252800ZZTW|6|12.7|3.31|10.01|20260302|USERVINPUTTER01
AA252809SY4L|5.34|8.7|6.65|10.01|20260302|USERVINPUTTER01
AA2528016MPZ|9.45|10.9|9.45|10.9|20260302|USERVINPUTTER01
AA25280FLQM6|8.61|10.11|8.61|10.11|20260302|USERVINPUTTER01
AA25280G8LH4|6|11.5|4.51|10.01|20260302|USERVINPUTTER01
AA25280RTWCG|5.2|10.9|5.2|10.9|20260302|USERVINPUTTER01
AA25280Y6LDJ|4|11.35|1.5|8.85|20260302|USERVINPUTTER01
AA25280HC726|5.34|8.7|6.65|10.01|20260302|USERVINPUTTER01
AA25280YKZF8|9|11.35|6.5|8.85|20260302|USERVINPUTTER01
AA25280FN45Q|7|12.7|3.15|8.85|20260302|USERVINPUTTER01
AA25280G1WKX|5.7|12.7|3.01|10.01|20260302|USERVINPUTTER01
AA25280GDMP5|8.11|10.65|6.31|8.85|20260302|USERVINPUTTER01
AA25280191T7|10.25|11.35|7.75|8.85|20260302|USERVINPUTTER01
AA25280G7W3K|0.46|1.66|3|4.2|20260302|USERVINPUTTER01
AA252801B015|4.23|10.9|4.23|10.9|20260302|USERVINPUTTER01
AA25280DNKL0|3|7.7|4.15|8.85|20260302|USERVINPUTTER01
AA25280DZ2MZ|5.95|10.9|5.95|10.9|20260302|USERVINPUTTER01
AA25280Y95TP|4.9|10.9|4.9|10.9|20260302|USERVINPUTTER01
AA25280F1791|2.5|7.4|3.95|8.85|20260302|USERVINPUTTER01
AA25280FBRP3|9.5|11.35|7|8.85|20260302|USERVINPUTTER01
AA25280RY656|3|12.7|0.31|10.01|20260302|USERVINPUTTER01
AA25280B70K6|5.7|10.5|5.21|10.01|20260302|USERVINPUTTER01
AA25280FGLSV|3.8|10.9|3.8|10.9|20260302|USERVINPUTTER01
AA252801F3NZ|9|7.85|10|8.85|20260302|USERVINPUTTER01
AA25280B66JK|9.95|10.9|9.95|10.9|20260302|USERVINPUTTER01
AA25280DZF9F|5.7|11.35|3.2|8.85|20260302|USERVINPUTTER01
AA26001NLRP0|12|11|12|11|20260302|USERVINPUTTER01
AA25280Y9PM8|7|12.7|4.31|10.01|20260302|USERVINPUTTER01
AA25280FNLKV|7.36|10.9|7.36|10.9|20260302|USERVINPUTTER01
AA25280FXMHC|4.2|4.45|4.2|4.45|20260302|USERVINPUTTER01
AA25280G2RXR|8.5|4.5|8.5|4.5|20260302|USERVINPUTTER01
AA25280GJNX8|5.03|8.7|5.18|8.85|20260302|USERVINPUTTER01
AA25280GLK3N|3.85|5.35|2.7|4.2|20260302|USERVINPUTTER01
AA25280DVN0M|9.5|11.35|7|8.85|20260302|USERVINPUTTER01
AA25280GPG98|6.98|10.65|5.18|8.85|20260302|USERVINPUTTER01
AA25280FM717|4.35|4.45|4.35|4.45|20260302|USERVINPUTTER01
AA2528019S0C|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA25280FSS13|10.22|10.9|10.22|10.9|20260302|USERVINPUTTER01
AA252801CKTB|10.25|11.35|7.75|8.85|20260302|USERVINPUTTER01
AA252809XFFN|3.2|10.9|3.2|10.9|20260302|USERVINPUTTER01
AA25280DY50W|9|11.35|6.5|8.85|20260302|USERVINPUTTER01
AA25280FDKVZ|4.9|10.9|4.9|10.9|20260302|USERVINPUTTER01
AA25280GBKC4|7.7|10.5|7.21|10.01|20260302|USERVINPUTTER01
AA25280S27WX|5.85|10.9|5.85|10.9|20260302|USERVINPUTTER01
AA25280GM10R|8|12.7|4.15|8.85|20260302|USERVINPUTTER01
AA2528010TNC|1.5|12.7|0|10.01|20260302|USERVINPUTTER01
AA25280FVY9Z|4.15|5.55|3|4.4|20260302|USERVINPUTTER01
AA25280FK4HC|8.7|11|8.7|11|20260302|USERVINPUTTER01
AA25280G3TJT|5.15|6.5|7.5|8.85|20260302|USERVINPUTTER01
AA25280Y8BXK|9.75|12.7|5.9|8.85|20260302|USERVINPUTTER01
AA25280FTTZ8|6.83|10.5|5.18|8.85|20260302|USERVINPUTTER01
AA252809XS7N|9|10.5|7.35|8.85|20260302|USERVINPUTTER01
AA25280GFKQN|3.5|5.75|2.15|4.4|20260302|USERVINPUTTER01
AA2528018X3S|8|8|8.85|8.85|20260302|USERVINPUTTER01
AA25280FL34B|8.14|10.65|6.34|8.85|20260302|USERVINPUTTER01
AA25280S3MSX|5.25|5.35|4.1|4.2|20260302|USERVINPUTTER01
AA25280FZ001|8.2|9.9|8.31|10.01|20260302|USERVINPUTTER01
AA25280S2NS9|0.36|1.83|2.73|4.2|20260302|USERVINPUTTER01
AA25280G9HH6|6.2|8|7.05|8.85|20260302|USERVINPUTTER01
AA25280Y582J|3.48|9.9|3.59|10.01|20260302|USERVINPUTTER01
AA25280FNBRB|9|10.5|7.35|8.85|20260302|USERVINPUTTER01
AA25280FSJCH|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280GM9DW|1|1.82|0.45|1.27|20260302|USERVINPUTTER01
AA25280FNTC3|4.15|5.55|3|4.4|20260302|USERVINPUTTER01
AA25280GQ62G|5.16|8.7|6.47|10.01|20260302|USERVINPUTTER01
AA252801LKRP|3.9|1.15|6.95|4.2|20260302|USERVINPUTTER01
AA252801163M|5.2|10.9|5.2|10.9|20260302|USERVINPUTTER01
AA252809VQ3R|8.14|10.5|6.49|8.85|20260302|USERVINPUTTER01
AA25280GHYB4|8.7|11|8.7|11|20260302|USERVINPUTTER01
AA25280DNQ0M|6.98|10.65|5.18|8.85|20260302|USERVINPUTTER01
AA25280S0YBD|8.15|10.65|6.35|8.85|20260302|USERVINPUTTER01
AA25280FX63M|5.41|11.35|2.91|8.85|20260302|USERVINPUTTER01
AA25280H9RNQ|2.65|8.3|3.2|8.85|20260302|USERVINPUTTER01
AA25280YDSZV|3.18|5.55|2.03|4.4|20260302|USERVINPUTTER01
AA25280F9FXC|8.5|11.35|6|8.85|20260302|USERVINPUTTER01
AA25280GCV8W|0.46|3|1.66|4.2|20260302|USERVINPUTTER01
AA25280DW0NT|1.9|10.9|1.9|10.9|20260302|USERVINPUTTER01
AA25280G11YF|4.17|5.35|3.02|4.2|20260302|USERVINPUTTER01
AA25280GHL1P|10.4|10.9|10.4|10.9|20260302|USERVINPUTTER01
AA25280Y9YVJ|3|9.9|3.11|10.01|20260302|USERVINPUTTER01
AA25280DLRVK|2.5|.2|6.7|4.4|20260302|USERVINPUTTER01
AA25280G0P4K|6.7|9.9|6.81|10.01|20260302|USERVINPUTTER01
AA25280GBTXZ|6.34|11.35|3.84|8.85|20260302|USERVINPUTTER01
AA25280H5C8M|5.5|10.5|3.85|8.85|20260302|USERVINPUTTER01
AA252801B9S7|8.75|6.5|11.1|8.85|20260302|USERVINPUTTER01
AA25280B6PW4|6.83|10.5|5.18|8.85|20260302|USERVINPUTTER01
AA25280FWR9C|9|11.35|6.5|8.85|20260302|USERVINPUTTER01
AA25280S63T2|6.98|10.65|5.18|8.85|20260302|USERVINPUTTER01
AA252807ZK95|9.5|8|10.35|8.85|20260302|USERVINPUTTER01
AA25280QYZ4H|5.05|10.9|5.05|10.9|20260302|USERVINPUTTER01
AA25280SCJC3|3.9|10.9|3.9|10.9|20260302|USERVINPUTTER01
AA2528094BBX|9|7|10.85|8.85|20260302|USERVINPUTTER01
AA25280QJ7HL|2.7|7.4|4.15|8.85|20260302|USERVINPUTTER01
AA25280QTZ87|9.5|11.35|7|8.85|20260302|USERVINPUTTER01
AA25280SSMM3|3||3||20260302|USERVINPUTTER01
AA252806T8K8|0.63|10.9|0.63|10.9|20260302|USERVINPUTTER01
AA25280SHC6C|0.38|1.1|3.48|4.2|20260302|USERVINPUTTER01
AA25280ZKH1H|2.9|10.9|2.9|10.9|20260302|USERVINPUTTER01
AA2600123WNQ|2.3|1.3|2.3|1.3|20260302|USERVINPUTTER01
AA260016W0DK|10||10||20260302|USERVINPUTTER01
AA2528080VXM|8.14|10.65|6.34|8.85|20260302|USERVINPUTTER01
AA25280QNS34|6|12.7|2.15|8.85|20260302|USERVINPUTTER01
AA260012J880|12|11|12|11|20260302|USERVINPUTTER01
AA26001DRC1L|12|11|12|11|20260302|USERVINPUTTER01
AA25280RNC5F|10.25|12.7|6.4|8.85|20260302|USERVINPUTTER01
AA25280QGH48|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280Z9Z5D|0.4|2.7|1.9|4.2|20260302|USERVINPUTTER01
