NUM_CERTIFICADO|TASA_INTERES_ANTERIOR|TASA_POOL_ANTERIOR|TASA_INTERES_NUEVA|TASA_POOL_NUEVA|FECHA_CAMBIO_TASA|USUARIO_CAMBIO_TASA
AA25280QJCNW|4.21|9.9|4.32|10.01|20260302|USERVINPUTTER01
AA25280ZMX26|5|11.35|2.5|8.85|20260302|USERVINPUTTER01
AA25280ZN608|3|5.75|1.65|4.4|20260302|USERVINPUTTER01
AA25280ZTLZG|8.5|7.85|9.5|8.85|20260302|USERVINPUTTER01
AA2528080KMG|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA25280QVDWM|7.65|10.9|7.65|10.9|20260302|USERVINPUTTER01
AA2528092LNT|8|11.5|6.51|10.01|20260302|USERVINPUTTER01
AA25280QLJ4Z|8.15|10.65|6.35|8.85|20260302|USERVINPUTTER01
AA25280S7DXF|5|10.5|4.51|10.01|20260302|USERVINPUTTER01
AA252808P43L|6|11.5|4.51|10.01|20260302|USERVINPUTTER01
AA26001832BC|12|11|12|11|20260302|USERVINPUTTER01
AA252808TPC3|5.7|10.9|5.7|10.9|20260302|USERVINPUTTER01
AA252808174T|5.7|10.5|5.21|10.01|20260302|USERVINPUTTER01
AA2528070R2J|5|11.5|3.51|10.01|20260302|USERVINPUTTER01
AA25280QW7Y4|10.11|10.11|10.11|10.11|20260302|USERVINPUTTER01
AA252807X2N4|7.75|10.9|7.75|10.9|20260302|USERVINPUTTER01
AA25280SMKLF|4.35|10.9|4.35|10.9|20260302|USERVINPUTTER01
AA25280R1H0D|10.22|10.9|10.22|10.9|20260302|USERVINPUTTER01
AA252806ZRSP|10|12.7|6.15|8.85|20260302|USERVINPUTTER01
AA252807ZZVY|8.45|11|8.45|11|20260302|USERVINPUTTER01
AA25280QF49H|2.5|12.7|0|10.01|20260302|USERVINPUTTER01
AA25280ZGKTX|10.4|10.65|8.6|8.85|20260302|USERVINPUTTER01
AA25280R5GZ1|7.39|10.9|7.39|10.9|20260302|USERVINPUTTER01
AA25280R89PG|10.25|12.7|6.4|8.85|20260302|USERVINPUTTER01
AA25280SD7B7|2.5|5.75|1.15|4.4|20260302|USERVINPUTTER01
AA25280QD2SP|10.11|10.11|10.11|10.11|20260302|USERVINPUTTER01
AA252805X3K5|5|1.7|7.5|4.2|20260302|USERVINPUTTER01
AA25280SNMJR|3.98|10.9|3.98|10.9|20260302|USERVINPUTTER01
AA25280QTHXM|6.98|10.65|5.18|8.85|20260302|USERVINPUTTER01
AA25280QVKCN|10.25|11.35|7.75|8.85|20260302|USERVINPUTTER01
AA25280SMC93|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA2600101QYT|12|11|12|11|20260302|USERVINPUTTER01
AA2528081LZT|9.5|11.35|7|8.85|20260302|USERVINPUTTER01
AA25280QHH6F|3|5.75|1.65|4.4|20260302|USERVINPUTTER01
AA25280RGYYK|2.5|10.65|0.7|8.85|20260302|USERVINPUTTER01
AA25280RLM2M|8.2|11|8.2|11|20260302|USERVINPUTTER01
AA25280QBZ0Y|3.25|11.5|1.76|10.01|20260302|USERVINPUTTER01
AA25280Z9X43|7.5|11.35|5|8.85|20260302|USERVINPUTTER01
AA25280ZSK2W|6|7.7|7.15|8.85|20260302|USERVINPUTTER01
AA260012TWLJ|12|11|12|11|20260302|USERVINPUTTER01
AA260017HXFC|12|11|12|11|20260302|USERVINPUTTER01
AA25280Q94NZ|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280RMR37|2.23|10.9|2.23|10.9|20260302|USERVINPUTTER01
AA252806TP2Q|8|11|8|11|20260302|USERVINPUTTER01
AA2528070BL1|4.75|7.7|5.9|8.85|20260302|USERVINPUTTER01
AA25280RJV30|8.6|11.5|7.11|10.01|20260302|USERVINPUTTER01
AA25280ZHNFW|8.5|12.7|4.65|8.85|20260302|USERVINPUTTER01
AA252807XH4G|1.15|10.9|1.15|10.9|20260302|USERVINPUTTER01
AA25280QC2SF|6.95|10.9|6.95|10.9|20260302|USERVINPUTTER01
AA260012L5W6|10||10||20260302|USERVINPUTTER01
AA260015XWQY|12|11|12|11|20260302|USERVINPUTTER01
AA252807XYSP|0.38|2.7|1.88|4.2|20260302|USERVINPUTTER01
AA25280RJ2RQ|3|5.5|1.9|4.4|20260302|USERVINPUTTER01
AA25280S705F|4.05|5.35|2.9|4.2|20260302|USERVINPUTTER01
AA25280SM52M|1.9|10.9|1.9|10.9|20260302|USERVINPUTTER01
AA25280SQ6XB|2.5|5.75|1.15|4.4|20260302|USERVINPUTTER01
AA25280RJSL6|7.36|10.9|7.36|10.9|20260302|USERVINPUTTER01
AA25280RL97Y|4.25|11.35|1.75|8.85|20260302|USERVINPUTTER01
AA25280SGBF4|4.35|4.45|4.35|4.45|20260302|USERVINPUTTER01
AA25280ZBRNY|2.5|8|3.35|8.85|20260302|USERVINPUTTER01
AA25280R47DS|9|11.35|6.5|8.85|20260302|USERVINPUTTER01
AA25280ZLHW9|3.75|11.35|1.25|8.85|20260302|USERVINPUTTER01
AA260012QVJB|2.3|1.3|2.3|1.3|20260302|USERVINPUTTER01
AA252808VZ7Z|7.75|11.35|5.25|8.85|20260302|USERVINPUTTER01
AA252807R4RQ|8.87|11|8.87|11|20260302|USERVINPUTTER01
AA252808QDVN|4.85|10.9|4.85|10.9|20260302|USERVINPUTTER01
AA25280R009R|8.5|11.4|7.11|10.01|20260302|USERVINPUTTER01
AA252806S38P|3|7.85|4|8.85|20260302|USERVINPUTTER01
AA252806THT6|2.5|8|3.35|8.85|20260302|USERVINPUTTER01
AA25280RM8RX|0.4|10.9|0.4|10.9|20260302|USERVINPUTTER01
AA25280Z7L1M|8|7.7|9.15|8.85|20260302|USERVINPUTTER01
AA25280ZS04D|6|10.5|4.35|8.85|20260302|USERVINPUTTER01
AA25280ZSS9R|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA25280QQ696|3.75|11.5|2.26|10.01|20260302|USERVINPUTTER01
AA25280R2MVB|5.7|10.5|5.21|10.01|20260302|USERVINPUTTER01
AA25280S90N5|8.16|11.7|5.19|8.73|20260302|USERVINPUTTER01
AA26001F1KBQ|12|11|12|11|20260302|USERVINPUTTER01
AA25280RC531|1.9|10.9|1.9|10.9|20260302|USERVINPUTTER01
AA252806RPBK|5.4|10.9|5.4|10.9|20260302|USERVINPUTTER01
AA25280SCRFB|8.14|10.65|6.34|8.85|20260302|USERVINPUTTER01
AA25280R29NX|9.5|7.4|10.95|8.85|20260302|USERVINPUTTER01
AA252806TFST|2.65|8|3.5|8.85|20260302|USERVINPUTTER01
AA252808VT0N|4.95|11.5|3.46|10.01|20260302|USERVINPUTTER01
AA25280RB9R9|3.9|10.9|3.9|10.9|20260302|USERVINPUTTER01
AA25280QSK9B|10|11.35|7.5|8.85|20260302|USERVINPUTTER01
AA25280QSYRD|6.23|10.9|6.23|10.9|20260302|USERVINPUTTER01
AA252808WQLY|2|12.7|0|10.01|20260302|USERVINPUTTER01
AA25280QDD8R|8.45|10.5|7.96|10.01|20260302|USERVINPUTTER01
AA2528021HFC|7.11|10.11|7.11|10.11|20260302|USERVINPUTTER01
AA25280Z7739|2.5|8.3|3.05|8.85|20260302|USERVINPUTTER01
AA25280ZSXVT|7.25|11.35|4.75|8.85|20260302|USERVINPUTTER01
AA252808WP0J|7.55|11|7.55|11|20260302|USERVINPUTTER01
AA25280SWP7Q|2.5|7.85|3.5|8.85|20260302|USERVINPUTTER01
AA25280ZR7D9|5.5|6.9|7.45|8.85|20260302|USERVINPUTTER01
AA252807VVR7|8.3|10.5|6.65|8.85|20260302|USERVINPUTTER01
AA25280SBLBT|6.05|12.7|2.2|8.85|20260302|USERVINPUTTER01
AA25280SGQJ5|3|6.9|4.95|8.85|20260302|USERVINPUTTER01
AA25280R6TNF|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280S7WRJ|4.4|4.5|4.4|4.5|20260302|USERVINPUTTER01
AA252806S968|2.5|7.7|3.65|8.85|20260302|USERVINPUTTER01
AA25280ZK0H7|3.8|4.5|3.8|4.5|20260302|USERVINPUTTER01
AA2600154SHW|12|11|12|11|20260302|USERVINPUTTER01
AA252808W4RC|8.11|10.65|6.31|8.85|20260302|USERVINPUTTER01
AA252801SPLT|0.41|2.7|1.91|4.2|20260302|USERVINPUTTER01
AA25280BXCTH|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA252803LN9N|7.39|10.9|7.39|10.9|20260302|USERVINPUTTER01
AA252803LPQW|0.46|1|3.66|4.2|20260302|USERVINPUTTER01
AA25280TZS7L|0.46|0|4.66|4.2|20260302|USERVINPUTTER01
AA252801Q4B9|10|11.25|7.6|8.85|20260302|USERVINPUTTER01
AA25280CZ94P|3.71|10.9|3.71|10.9|20260302|USERVINPUTTER01
AA25280V2LLP|4.75|11.35|2.25|8.85|20260302|USERVINPUTTER01
AA25280BVXM0|0.38|0|4.58|4.2|20260302|USERVINPUTTER01
AA25280VBS6Z|3.4|10.9|3.4|10.9|20260302|USERVINPUTTER01
AA252801TMTC|8.14|10.65|6.34|8.85|20260302|USERVINPUTTER01
AA25280D392T|4.25|12.7|0.4|8.85|20260302|USERVINPUTTER01
AA25280DG7PZ|2.5|8|3.35|8.85|20260302|USERVINPUTTER01
AA260019HXH4|10||10||20260302|USERVINPUTTER01
AA260018L106|12|11|12|11|20260302|USERVINPUTTER01
AA25280DFK2V|4.05|5.35|2.9|4.2|20260302|USERVINPUTTER01
AA260018GHSZ|2.3|1.3|2.3|1.3|20260302|USERVINPUTTER01
AA252801R5RR|1.25|4.45|1.25|4.45|20260302|USERVINPUTTER01
AA25280TSWXQ|2.5|7.85|3.5|8.85|20260302|USERVINPUTTER01
AA252801QC36|3|5.75|1.65|4.4|20260302|USERVINPUTTER01
AA25280TX705|2.96|7.7|4.11|8.85|20260302|USERVINPUTTER01
AA2528039X2L|7.36|10.9|7.36|10.9|20260302|USERVINPUTTER01
AA25280TL66J|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA25280C0CLM|5.34|8.7|6.65|10.01|20260302|USERVINPUTTER01
AA25280VBSHQ|4|8.7|5.31|10.01|20260302|USERVINPUTTER01
AA252801R55H|10.25|11.35|7.75|8.85|20260302|USERVINPUTTER01
AA26001DDNDY|12|11|12|11|20260302|USERVINPUTTER01
AA25280BXL2L|7.54|10.9|7.54|10.9|20260302|USERVINPUTTER01
AA25280TXN5J|2.97|8|3.82|8.85|20260302|USERVINPUTTER01
AA252803BT4F|5.2|5.35|4.05|4.2|20260302|USERVINPUTTER01
AA252803LLY7|7.35|11|7.35|11|20260302|USERVINPUTTER01
AA25280CVHVY|7.55|11|7.55|11|20260302|USERVINPUTTER01
AA25280CX584|6|11.5|4.51|10.01|20260302|USERVINPUTTER01
AA252801SRV1|1.9|4.5|1.9|4.5|20260302|USERVINPUTTER01
AA25280D4M7Y|5.8|11.35|3.3|8.85|20260302|USERVINPUTTER01
AA25280SZW91|8|12.7|5.31|10.01|20260302|USERVINPUTTER01
AA25280TTKF3|10.22|10.9|10.22|10.9|20260302|USERVINPUTTER01
AA25280T9JY4|7.36|10.9|7.36|10.9|20260302|USERVINPUTTER01
AA252801M014|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
AA25280D9X9Y|10.5|11.35|8|8.85|20260302|USERVINPUTTER01
AA26001BBTHK|10||10||20260302|USERVINPUTTER01
AA25280TZWGX|7.35|10.9|7.35|10.9|20260302|USERVINPUTTER01
AA25280BHYN5|2.5|4.6|6.75|8.85|20260302|USERVINPUTTER01
AA25280D5SQN|6.2|10.9|6.2|10.9|20260302|USERVINPUTTER01
AA25280394K5|8.25|11|8.25|11|20260302|USERVINPUTTER01
AA25280DCKLR|4.5|1.08|7.62|4.2|20260302|USERVINPUTTER01
AA25280BX5L6|9|10.5|7.35|8.85|20260302|USERVINPUTTER01
AA25280CVM87|8.5|11.35|6|8.85|20260302|USERVINPUTTER01
AA25280DLM3W|4.85|10.9|4.85|10.9|20260302|USERVINPUTTER01
AA25280D9JCJ|5.15|10.9|5.15|10.9|20260302|USERVINPUTTER01
AA25280DG713|9.11|10.11|9.11|10.11|20260302|USERVINPUTTER01
AA25280TGLG1|10|12.7|6.15|8.85|20260302|USERVINPUTTER01
AA25280TQ66T|2.7|8|3.55|8.85|20260302|USERVINPUTTER01
AA25280B84VZ|5|10|5.01|10.01|20260302|USERVINPUTTER01
AA25280BJBQT|5.15|10.9|5.15|10.9|20260302|USERVINPUTTER01
AA25280BYSTL|3|5.55|1.85|4.4|20260302|USERVINPUTTER01
AA25280CX4DF|2.62|4.4|2.62|4.4|20260302|USERVINPUTTER01
AA252803CGW8|0.46|2.7|1.96|4.2|20260302|USERVINPUTTER01
AA25280B7GZQ|2|2.95|3.45|4.4|20260302|USERVINPUTTER01
AA25280T21SK|3.53|10.9|3.53|10.9|20260302|USERVINPUTTER01
AA25280D1CM2|10.25|11.35|7.75|8.85|20260302|USERVINPUTTER01
AA25280BWQ6N|3.5|8.7|4.81|10.01|20260302|USERVINPUTTER01
AA252803NTKB|6|11.5|4.51|10.01|20260302|USERVINPUTTER01
AA252801Q7FH|6.7|10.5|6.21|10.01|20260302|USERVINPUTTER01
AA25280DG6QP|10.25|11.35|7.75|8.85|20260302|USERVINPUTTER01
AA26001BFV80|12|11|12|11|20260302|USERVINPUTTER01
AA25280BGK07|2.67|4.45|2.67|4.45|20260302|USERVINPUTTER01
AA25280V36VG|3|5.75|1.65|4.4|20260302|USERVINPUTTER01
AA252803LWM2|0.4|1.7|2.9|4.2|20260302|USERVINPUTTER01
AA25280DG762|2.5|12.7|0|10.01|20260302|USERVINPUTTER01
AA25280V15BY|5.9|10.9|5.9|10.9|20260302|USERVINPUTTER01
AA260018DCHF|12|11|12|11|20260302|USERVINPUTTER01
AA252801R2KS|5|5.35|3.85|4.2|20260302|USERVINPUTTER01
AA25280D73R9|6.98|10.65|5.18|8.85|20260302|USERVINPUTTER01
AA25280V5XPN|2.7|8|3.55|8.85|20260302|USERVINPUTTER01
AA26001B9YTG|2.3|1.3|2.3|1.3|20260302|USERVINPUTTER01
AA25280V65M2|2.5|7.7|3.65|8.85|20260302|USERVINPUTTER01
AA25280V6NHJ|8.7|11|8.7|11|20260302|USERVINPUTTER01
AA252803FLWR|5.15|10.9|5.15|10.9|20260302|USERVINPUTTER01
AA252763MX0H|6.83|11|6.83|11|20260302|USERVINPUTTER01
AA25280C5PM8|8|7.85|9|8.85|20260302|USERVINPUTTER01
AA25280CJ8VL|7.39|10.9|7.39|10.9|20260302|USERVINPUTTER01
AA25280CRMLH|10.25|11.35|7.75|8.85|20260302|USERVINPUTTER01
AA25280HS6HY|6|10.5|5.51|10.01|20260302|USERVINPUTTER01
AA25280HWSHQ|8.15|11|8.15|11|20260302|USERVINPUTTER01
AA25280PW1XS|8|10|8|10|20260302|USERVINPUTTER01
AA2527654QVP|6.83|11|6.83|11|20260302|USERVINPUTTER01
AA2528089FJM|8.1|7.7|9.25|8.85|20260302|USERVINPUTTER01
AA25280J4CW3|8.25||8.25||20260302|USERVINPUTTER01
AA252808DGH5|5.5|7|7.35|8.85|20260302|USERVINPUTTER01
AA25280HNLWW|4.5|5.35|3.35|4.2|20260302|USERVINPUTTER01
AA25280PZ7FL|7.08|11|7.08|11|20260302|USERVINPUTTER01
AA25280BG5Q2|5.3|5.35|4.15|4.2|20260302|USERVINPUTTER01
AA25280CS05F|6.7|11.5|5.21|10.01|20260302|USERVINPUTTER01
AA25276ZBY4D|8.33|11|8.33|11|20260302|USERVINPUTTER01
AA252764D30L|8.08|11|8.08|11|20260302|USERVINPUTTER01
AA25280Z30W7|2.15|10.9|2.15|10.9|20260302|USERVINPUTTER01
AA252808DV25|4.75|11.35|2.25|8.85|20260302|USERVINPUTTER01
AA25280C1D7W|3.25|11.5|1.76|10.01|20260302|USERVINPUTTER01
AA25280PQ6WC|2.7|4.5|2.7|4.5|20260302|USERVINPUTTER01
AA25280B9S1M|8|8.7|8.15|8.85|20260302|USERVINPUTTER01
AA25280NSBWW|3|8.3|3.55|8.85|20260302|USERVINPUTTER01
AA25280C993V|2.5|8|3.35|8.85|20260302|USERVINPUTTER01
AA25280CH3P5|5.7|10.9|5.7|10.9|20260302|USERVINPUTTER01
AA25280C2MKX|5|11.35|2.5|8.85|20260302|USERVINPUTTER01
AA25280C35B0|2.5|7.25|4.1|8.85|20260302|USERVINPUTTER01
AA25280884R0|2.5|6.9|4.45|8.85|20260302|USERVINPUTTER01
AA25280C17CK|8|10.5|6.35|8.85|20260302|USERVINPUTTER01
AA25280J3YQ2|5.19|8.7|6.5|10.01|20260302|USERVINPUTTER01
AA25280Z29QL|2.5|8.3|3.05|8.85|20260302|USERVINPUTTER01
AA25280HD37S|7.5|9.9|7.61|10.01|20260302|USERVINPUTTER01
AA252766YFC7|6.83|11|6.83|11|20260302|USERVINPUTTER01
AA25280BB06B|5.16|8.7|6.47|10.01|20260302|USERVINPUTTER01
AA25280J4XRF|5.6|11.35|3.1|8.85|20260302|USERVINPUTTER01
AA25276YNG4S|9.45|11|9.45|11|20260302|USERVINPUTTER01
AA25280Z2LPM|6.15|10.9|6.15|10.9|20260302|USERVINPUTTER01
AA25280B8DYQ|8|11.35|5.5|8.85|20260302|USERVINPUTTER01
AA25280HMV1M|8|11.5|6.51|10.01|20260302|USERVINPUTTER01
AA25280J2RJN|5.25|5.35|4.1|4.2|20260302|USERVINPUTTER01
AA25280PWRXD|0.33|1.83|2.7|4.2|20260302|USERVINPUTTER01
AA25280CMB1G|2|5.55|0.85|4.4|20260302|USERVINPUTTER01
AA25280J1MXD|2.84|6.9|4.79|8.85|20260302|USERVINPUTTER01
AA2528001JBV|8|11.35|5.5|8.85|20260302|USERVINPUTTER01
AA25280C9QJ2|5.5|11.35|3|8.85|20260302|USERVINPUTTER01
AA25280JBNMF|7.39|10.9|7.39|10.9|20260302|USERVINPUTTER01
AA25280J9QNG|3.2|6.9|5.15|8.85|20260302|USERVINPUTTER01
AA25280CQV00|6|9.9|6.11|10.01|20260302|USERVINPUTTER01
AA25280JMG6Y|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280Z3RVD|2.5|8.3|3.05|8.85|20260302|USERVINPUTTER01
AA25280Z6JJT|2.5|6.5|4.85|8.85|20260302|USERVINPUTTER01
AA25280C16JY|5.1|8.6|3.61|7.11|20260302|USERVINPUTTER01
AA25280HG5P2|7|10.5|5.35|8.85|20260302|USERVINPUTTER01
AA25280C2FGV|5.15|6.5|7.5|8.85|20260302|USERVINPUTTER01
AA25280C9YJG|8.7|11|8.7|11|20260302|USERVINPUTTER01
AA25280D99G4|5.2|10.9|5.2|10.9|20260302|USERVINPUTTER01
AA25280YS57M|7.35|11.35|4.85|8.85|20260302|USERVINPUTTER01
AA25280C39DV|6|11.5|4.51|10.01|20260302|USERVINPUTTER01
AA25276W6ZF8|10.75|11|10.75|11|20260302|USERVINPUTTER01
AA2528089CT0|4.25|8|5.1|8.85|20260302|USERVINPUTTER01
AA2527659KH5|6.83|11|6.83|11|20260302|USERVINPUTTER01
AA25280YT1RP|6|8.7|6.15|8.85|20260302|USERVINPUTTER01
AA25280Z0F82|10.3|12.7|6.45|8.85|20260302|USERVINPUTTER01
AA252764YPFG|6.58|11|6.58|11|20260302|USERVINPUTTER01
AA2527677VTJ|6.83|11|6.83|11|20260302|USERVINPUTTER01
AA252808CXSX|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA25280HMP0T|1.25|4.45|1.25|4.45|20260302|USERVINPUTTER01
AA25280HPXTL|4.03|8.7|5.34|10.01|20260302|USERVINPUTTER01
AA252765BCPZ|6.33|11|6.33|11|20260302|USERVINPUTTER01
AA252766XM2M|6.33|11|6.33|11|20260302|USERVINPUTTER01
AA25280NS74N|5.2|10.9|5.2|10.9|20260302|USERVINPUTTER01
AA2528086Y93|5.16|8.7|6.47|10.01|20260302|USERVINPUTTER01
AA25280HKB39|3|5.75|1.65|4.4|20260302|USERVINPUTTER01
AA252808DR57|3|7.7|4.15|8.85|20260302|USERVINPUTTER01
AA25280C2K46|1.95|4.45|1.95|4.45|20260302|USERVINPUTTER01
AA25280PZYCW|2.2|10.9|2.2|10.9|20260302|USERVINPUTTER01
AA25280Z08PF|7|11.5|5.51|10.01|20260302|USERVINPUTTER01
AA25246TK13Y|8.45|8.7|9.76|10.01|20260302|USERVINPUTTER01
AA25280JNX1Y|6.9|10.9|6.9|10.9|20260302|USERVINPUTTER01
AA25280YXXZ7|6|10.5|5.51|10.01|20260302|USERVINPUTTER01
AA25280YYFWY|4|8.7|5.31|10.01|20260302|USERVINPUTTER01
AA25280C9YMT|2.23|10.9|2.23|10.9|20260302|USERVINPUTTER01
AA25280YMKXC|3|5.5|1.9|4.4|20260302|USERVINPUTTER01
AA25280C6269|7.5|10.5|7.01|10.01|20260302|USERVINPUTTER01
AA25280J328H|10.11|10.11|10.11|10.11|20260302|USERVINPUTTER01
AA25280J4XSV|8.3|8|9.15|8.85|20260302|USERVINPUTTER01
AA25280PXP2Y|11.45|11.7|8.48|8.73|20260302|USERVINPUTTER01
